FC2	1xp9O1
1Bx7FN	4o	s113.134.21.1.ipda.vectant.ne.jp
5	6	0	4	e	3	1	2
g	g	2	2	7	5	a	9	7	a	9	d	b	b	9	5	a	l	j	g	c	f	g	l
o	J	E	y	D	O	E
t	b	7	9	3	1
2w	1zvgov	114-43-108-209.dynamic.hinet.net	!5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.0	noscript	-
2v	1zt49y	d-117-74-13-179.d-cable.katch.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.155 Safari/537.36	-	m2,co,o
2u	1zrAPt	nttkyo459172.tkyo.nt.ftth.ppp.infoweb.ne.jp	!5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0	noscript	-
2t	1zoO8I	static.37.126.251.148.clients.your-server.de	!5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko	-	gw,co,o
2s	1zlash	s113.134.21.1.ipda.vectant.ne.jp	!5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.125 Safari/537.36	-	ne,ew,o
2r	1ziKNO	p3170-ipbfp704kobeminato.hyogo.ocn.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.134 Safari/537.36	-	r6,gW,o
2q	1zhExd	d-117-74-13-179.d-cable.katch.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.134 Safari/537.36	-	m2,co,o
2p	1zdS0n	61-21-43-239.rev.home.ne.jp	!5.0 (Windows NT 6.3; WOW64; rv:39.0) Gecko/20100101 Firefox/39.0	!www.google.co.jp/url?sa=t&rct=j&q=&esrc=s&source=web&cd=2&ved=0CCUQFjAB&url=http%3A%2F%2Fyugen.pya.jp%2F&ei=he-gVcCRL8K30gSI7oDYDQ&usg=AFQjCNHdieBh2uu-AsWbshygovkw7JWn3Q&bvm=bv.97653015,d.dGo&cad=rjt	uY,hq,o
2o	1zcrCI	crawl331.us.archive.org	!5.0 (Unknown; Linux x86_64) AppleWebKit/534.34 (KHTML, like Gecko) PhantomJS/1.6.1 Safari/534.34	-	gw,co,w
2n	1zcrCJ	crawl330.us.archive.org	!5.0 (Unknown; Linux x86_64) AppleWebKit/534.34 (KHTML, like Gecko) PhantomJS/1.6.1 Safari/534.34	-	gw,co,w
2m	1z7K0D	s113.134.21.1.ipda.vectant.ne.jp	!5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36	-	ne,ew,o
2l	1z2dxL	s21-15.opera-mini.net	!5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36 OPR/29.0.1795.60	https://www.google.co.jp/	uY,hq,o
2k	1z2dtO	s21-13.opera-mini.net	!5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36 OPR/29.0.1795.60	https://www.google.co.jp/	uY,hq,o
2j	1z2dqJ	s20-15.opera-mini.net	!5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36 OPR/29.0.1795.60	!yugen.pya.jp/%E3%81%93%E3%81%AE%E3%82%B5%E3%82%A4%E3%83%88%E3%81%AB%E3%81%A4%E3%81%84%E3%81%A6/	uY,hq,o
2i	1yYvBm	s113.134.21.1.ipda.vectant.ne.jp	!5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36	-	ne,ew,o
2h	1yY550	d-117-74-13-179.d-cable.katch.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36	-	m2,co,o
2g	1yWKJb	doc3u069139.ictv.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.65 Safari/537.36	!yugen.pya.jp/author/fuka/	uY,jm,o
2f	1yW1v6	s113.134.21.1.ipda.vectant.ne.jp	!5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.65 Safari/537.36	-	uY,hq,o
2e	1yVo6I	d-117-74-13-179.d-cable.katch.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36	-	m2,co,o
2d	1ySIMq	google-proxy-64-233-173-152.google.com	!5.0 (en-us) AppleWebKit/534.14 (KHTML, like Gecko; Google Wireless Transcoder) Chrome/9.0.597 Safari/534.14	noscript	-
2c	1yNnib	d-117-74-13-179.d-cable.katch.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.90 Safari/537.36	-	m2,co,o
2b	1yLEmT	s113.134.21.1.ipda.vectant.ne.jp	!5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.90 Safari/537.36	!yugen.pya.jp/wp/wp-login.php?redirect_to=http%3A%2F%2Fyugen.pya.jp%2Fwp%2Fwp-admin%2Findex.php&reauth=1	uY,hq,o
2a	1yLp4Q	d-117-74-13-179.d-cable.katch.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.90 Safari/537.36	-	m2,co,o
29	1yKvos	s113.134.21.1.ipda.vectant.ne.jp	!5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.90 Safari/537.36	!yugen.pya.jp/wp/wp-admin/index.php	uY,hq,o
28	1yJEp1	d-117-74-13-179.d-cable.katch.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.90 Safari/537.36	-	m2,co,o
27	1yJ94R	softbank126088030151.bbtec.net	!5.0 (Linux; Android 4.2.1; ME301T Build/JOP40D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Safari/537.36	noscript	-
26	1yIVFt	125-14-240-154.rev.home.ne.jp	!5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.90 Safari/537.36	https://www.google.co.jp/	m2,co,o
25	1yHOxp	s581035.xgsspn.imtp.tachikawa.spmode.ne.jp	!5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.118 Safari/537.36	!yugen.pya.jp/wp/wp-admin/index.php	ne,ew,o
24	1yFwiw	s113.134.21.1.ipda.vectant.ne.jp	!5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.118 Safari/537.36	!yugen.pya.jp/wp/wp-admin/options-general.php?page=sharing&update=saved	uY,hq,o
23	1yFjOp	www.server1.adexd.net	!5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.118 Safari/537.36	!yugen.pya.jp/%E3%81%93%E3%81%AE%E3%82%B5%E3%82%A4%E3%83%88%E3%81%AB%E3%81%A4%E3%81%84%E3%81%A6/	m2,co,o
22	1yBsKv	d-117-74-13-179.d-cable.katch.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.101 Safari/537.36	-	m2,co,o
21	1yyfwf	google-proxy-66-249-82-130.google.com	!5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko; Google Web Preview) Chrome/27.0.1453 Safari/537.36	!www.google.com/search	gw,gw,o
20	1ywnJL	s113.134.21.1.ipda.vectant.ne.jp	!5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	ne,ew,o
1Z	1yvk3o	i219-167-197-8.s02.a004.ap.plala.or.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36	!yugen.pya.jp/%E3%81%93%E3%81%AE%E3%82%B5%E3%82%A4%E3%83%88%E3%81%AB%E3%81%A4%E3%81%84%E3%81%A6/	kE,gw,o
1Y	1ys28G	d-117-74-13-179.d-cable.katch.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	-	m2,co,o
1X	1ypPoI	i118-20-88-113.s05.a013.ap.plala.or.jp	!5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0	!www.google.co.jp/url?sa=t&rct=j&q=&esrc=s&source=web&cd=104&cad=rja&uact=8&ved=0CC4QFjADOGQ&url=http%3A%2F%2Fyugen.pya.jp%2F&ei=9fPqVLWFMYb_8QWx6oCgAg&usg=AFQjCNHdieBh2uu-AsWbshygovkw7JWn3Q&bvm=bv.86475890,d.dGc	uY,hq,o
1W	1yprCm	d-117-74-13-179.d-cable.katch.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	-	m2,co,o
1V	1yoeM9	209.15.21.104	!5.0 (X11; Linux x86_64; rv:10.0.12) Gecko/20100101 Firefox/21.0 WordPress.com mShots	-	pO,jm,o
1U	1ymjYr	s113.134.21.1.ipda.vectant.ne.jp	!5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	!yugen.pya.jp/wp/wp-admin/post.php?post=348&action=edit&message=10	ne,ew,o
1T	1ym371	d-117-74-13-179.d-cable.katch.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36	-	m2,co,o
1S	1yiXzf	s113.134.21.1.ipda.vectant.ne.jp	!5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36	-	ne,ew,o
1R	1yiaWs	d-117-74-13-179.d-cable.katch.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.94 Safari/537.36	-	m2,co,o
1Q	1yhvKv	ntoska044219.oska.nt.ngn.ppp.infoweb.ne.jp	!5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko	!yugen.pya.jp/2014/08/30/%E9%BB%92%E7%8C%AB%E3%81%AE%E3%82%A6%E3%82%A3%E3%82%BA%EF%BC%9A%E3%82%B7%E3%82%B9%E3%83%86%E3%83%A0%E8%A7%A3%E6%9E%90%EF%BC%88%E6%92%A4%E9%80%80%EF%BC%89/	pO,ew,o
1P	1ygrt4	s113.134.21.1.ipda.vectant.ne.jp	!5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36	-	ne,ew,o
1O	1yfzyv	s1439010.xgsspn.imtp.tachikawa.spmode.ne.jp	!5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.99 Safari/537.36	-	ne,ew,o
1N	1yehtJ	s113.134.21.1.ipda.vectant.ne.jp	!5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.99 Safari/537.36	-	ne,ew,o
1M	1yd7xf	d-117-74-13-179.d-cable.katch.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.99 Safari/537.36	-	m2,co,o
1L	1ycBN3	181.subnet222-124-115.speedy.telkom.net.id	!5.0 (Linux; Android 4.1.1; Nexus 7 Build/JRO03D) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166  Safari/535.19	!yugenk.seesaa.net/?from_pc	kE,cU,o
1K	1y9FhY	d-117-74-13-179.d-cable.katch.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36	-	m2,co,o
1J	1y9BBs	s113.134.21.1.ipda.vectant.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36	!yugen.pya.jp/wp/wp-admin/post.php?post=316&action=edit	ne,ew,o
1I	1y8EMv	d-117-74-13-179.d-cable.katch.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36	-	m2,co,o
1H	1y8m0p	KD113151117041.ppp-bb.dion.ne.jp	!5.0 (Windows NT 5.1; rv:34.0) Gecko/20100101 Firefox/34.0	!yugen.pya.jp/cgi%E3%83%97%E3%83%AD%E3%82%B0%E3%83%A9%E3%83%A0/efstat%EF%BC%88%E3%82%A2%E3%82%AF%E3%82%BB%E3%82%B9%E8%A7%A3%E6%9E%90cgi%EF%BC%89/	hd,dL,o
1G	1y7HU6	d-117-74-13-179.d-cable.katch.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36	-	m2,co,o
1F	1y6MDP	softbank126012192233.bbtec.net	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36	!yugen.pya.jp/2014/08/30/%E9%BB%92%E7%8C%AB%E3%81%AE%E3%82%A6%E3%82%A3%E3%82%BA%EF%BC%9A%E3%82%B7%E3%82%B9%E3%83%86%E3%83%A0%E8%A7%A3%E6%9E%90%EF%BC%88%E6%92%A4%E9%80%80%EF%BC%89/	uY,hq,o
1E	1y6GqW	PPPa129.e3.eacc.dti.ne.jp	!5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36	https://www.google.co.jp/	uY,hq,o
1D	1y4r6p	d-117-74-13-179.d-cable.katch.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36	-	m2,co,o
1C	1y3ONJ	s113.134.21.1.ipda.vectant.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36	-	ne,ew,o
1B	1y3muF	d-117-74-13-179.d-cable.katch.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36	-	m2,co,o
1A	1y2wy2	s113.134.21.1.ipda.vectant.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36	-	ne,ew,o
1z	1y2ffq	d-117-74-13-179.d-cable.katch.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36	-	m2,co,o
1y	1y2cyH	s113.134.21.1.ipda.vectant.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36	!yugen.pya.jp/wp/wp-admin/post.php?post=295&action=edit&message=10	ne,ew,o
1x	1xZtdu	d-117-74-13-179.d-cable.katch.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36	-	m2,co,o
1w	1xXg2u	s113.134.21.1.ipda.vectant.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36	!yugen.pya.jp/wp/wp-admin/themes.php	ne,ew,o
1v	1xWwwI	d-117-74-13-179.d-cable.katch.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36	-	m2,co,o
1u	1xVQDA	s113.134.21.1.ipda.vectant.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36	-	ne,ew,o
1t	1xVOt0	d-117-74-13-179.d-cable.katch.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36	-	m2,co,o
1s	1xVBYQ	s113.134.21.1.ipda.vectant.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36	!yugen.pya.jp/wp/wp-admin/admin.php?page=google_universal_analytics	ne,ew,o
1r	1xVxfW	static.37.126.251.148.clients.your-server.de	!5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko	-	gw,co,o
1q	1xVt02	s113.134.21.1.ipda.vectant.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36	!yugen.pya.jp/wp/wp-admin/post-new.php	ne,ew,o
1p	1xVc14	d-117-74-13-179.d-cable.katch.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36	-	m2,co,o
1o	1xV5ql	p6044-ipbfp1805kobeminato.hyogo.ocn.ne.jp	!5.0 (iPhone; CPU iPhone OS 7_0_1 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A470a Safari/9537.53	!yugen.pya.jp/2014/08/30/%e9%bb%92%e7%8c%ab%e3%81%ae%e3%82%a6%e3%82%a3%e3%82%ba%ef%bc%9a%e3%82%b7%e3%82%b9%e3%83%86%e3%83%a0%e8%a7%a3%e6%9e%90%ef%bc%88%e6%92%a4%e9%80%80%ef%bc%89/	5a,9a,w
1n	1xT4SU	d-117-74-13-179.d-cable.katch.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.65 Safari/537.36	-	m2,co,o
1m	1xSV1k	i118-16-64-182.s42.a027.ap.plala.or.jp	!5.0 (Linux; Android 4.2.2; L-05E Build/JDQ39) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.59 Mobile Safari/537.36	-	5O,ak,w
1l	1xQyuv	d-117-74-13-179.d-cable.katch.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.111 Safari/537.36	-	m2,co,o
1k	1xOY2C	s90.205.229.222.fls.vectant.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.111 Safari/537.36	!yugen.pya.jp/wp/wp-admin/post.php?post=280&action=edit&message=6	ne,ew,o
1j	1xOLUv	s1439081.xgsspn.imtp.tachikawa.spmode.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.111 Safari/537.36	https://www.google.co.jp/	ne,ew,o
1i	1xOJMO	KD182250250231.au-net.ne.jp	!5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53	-	5a,9a,w
1h	1xOlql	s90.205.229.222.fls.vectant.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.111 Safari/537.36	-	ne,ew,o
1g	1xOloR	google-proxy-66-249-82-3.google.com	!5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko; Google Web Preview) Chrome/27.0.1453 Safari/537.36	!www.google.com/search	gw,gw,o
1f	1xOdxP	d-117-74-13-179.d-cable.katch.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.111 Safari/537.36	-	m2,co,o
1e	1xObut	KD182250250228.au-net.ne.jp	!5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53	-	5a,9a,w
1d	1xO391	s1001193.xgsspn.imtp.tachikawa.spmode.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.111 Safari/537.36	!yugen.pya.jp/wp/wp-admin/post.php?post=266&action=edit&message=1	ne,ew,o
1c	1xNARI	softbank221016020003.bbtec.net	!5.0 (Windows NT 6.1; rv:33.0) Gecko/20100101 Firefox/33.0	!yugen.pya.jp/%E3%81%93%E3%81%AE%E3%82%B5%E3%82%A4%E3%83%88%E3%81%AB%E3%81%A4%E3%81%84%E3%81%A6/	gw,co,o
1b	1xNq10	s90.205.229.222.fls.vectant.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.111 Safari/537.36	-	ne,ew,o
1a	1xNpd9	124-144-138-143.rev.home.ne.jp	!5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53	-	5a,9a,w
19	1xN920	d-117-74-13-179.d-cable.katch.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.111 Safari/537.36	-	m2,co,o
18	1xN0Mc	s90.205.229.222.fls.vectant.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.111 Safari/537.36	-	ne,ew,o
17	1xMuF9	d-117-74-13-179.d-cable.katch.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.111 Safari/537.36	-	m2,co,o
16	1xLRJj	kita203217180162.kitanet.ne.jp	!5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko	!yugen.pya.jp/%e3%81%93%e3%81%ae%e3%82%b5%e3%82%a4%e3%83%88%e3%81%ab%e3%81%a4%e3%81%84%e3%81%a6/	uY,hq,o
15	1xLN9B	KD182250250229.au-net.ne.jp	!5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53	-	5a,9a,w
14	1xKQTI	d-117-74-13-179.d-cable.katch.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.104 Safari/537.36	-	m2,co,o
13	1xKMwf	124-144-138-143.rev.home.ne.jp	!5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53	-	5a,9a,w
12	1xKzgT	d-117-74-13-179.d-cable.katch.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.104 Safari/537.36	-	m2,co,o
11	1xKpTY	s90.205.229.222.fls.vectant.ne.jp	!5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.111 Safari/537.36	-	uY,hq,o
10	1xJuZg	d-117-74-13-179.d-cable.katch.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.104 Safari/537.36	-	m2,co,o
Z	1xJr1A	s1451024.xgsspn.imtp.tachikawa.spmode.ne.jp	!5.0 (Linux; U; Android 4.4.2; ja-jp; SonySO-02F Build/14.3.B.0.288) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30	-	bC,kE,w
Y	1xIJAq	d-117-74-13-179.d-cable.katch.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.104 Safari/537.36	-	m2,co,o
X	1xId5e	124-144-138-143.rev.home.ne.jp	!5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53	-	5a,9a,w
W	1xHZMw	d-117-74-13-179.d-cable.katch.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.104 Safari/537.36	-	m2,co,o
V	1xHTbf	p2213-ipngn1501aobadori.miyagi.ocn.ne.jp	!5.0 (Linux; Android 4.2.2; ME173X Build/JDQ39) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.102 Safari/537.36	-	9H,fw,w
U	1xG84N	d-117-74-13-179.d-cable.katch.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.104 Safari/537.36	-	m2,co,o
T	1xFNwe	h124-241-172-160.user.starcat.ne.jp	!5.0 (Windows NT 6.1; WOW64; rv:32.0) Gecko/20100101 Firefox/32.0	!yugenk.seesaa.net/	m2,co,o
S	1xEjTy	d-117-74-13-179.d-cable.katch.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.101 Safari/537.36	-	m2,co,o
R	1xE3Q3	124-144-138-143.rev.home.ne.jp	!5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53	-	5a,9a,w
Q	1xE2a5	s1454245.xgsspn.imtp.tachikawa.spmode.ne.jp	!5.0 (Linux; Android 4.4.2; SO-02F Build/14.3.B.0.288) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/30.0.0.0 Mobile Safari/537.36	-	5O,9y,w
P	1xDYLC	d-117-74-13-179.d-cable.katch.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.101 Safari/537.36	-	m2,co,o
O	1xDXTm	s1163228.xgsspn.imtp.tachikawa.spmode.ne.jp	!5.0 (Linux; Android 4.4.2; SO-02F Build/14.3.B.0.288) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.102 Mobile Safari/537.36	https://www.google.co.jp/	5O,ak,w
N	1xDOZD	179.252.149.210.vmobile.jp	!5.0 (Linux; Android 4.2.2; L-05E Build/JDQ39) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.102 Mobile Safari/537.36	-	5O,ak,w
M	1xDG4R	d-117-74-13-179.d-cable.katch.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.101 Safari/537.36	-	m2,co,o
L	1xDFMp	i220-221-128-42.s04.a008.ap.plala.or.jp	!5.0 (Windows NT 6.1; WOW64; rv:32.0) Gecko/20100101 Firefox/32.0	-	ne,ew,o
